age,experience_years,working_hours_per_day,projects_handled,overtime_hours,work_pressure_score,work_life_balance,team_size,manager_support,job_satisfaction,mental_fatigue_score,stress_level,sleep_hours,burnout_score,gender_Male,education_level_Master,education_level_PhD,job_role_HR Executive,job_role_ML Engineer,job_role_Project Manager,job_role_Software Engineer,company_type_MNC,company_type_Startup,deadline_frequency_Low,deadline_frequency_Medium,remote_work_Yes,physical_activity_Yes,health_issues_Yes
50,0,7,3,24,2,1,7,1,5,9.9,4,5.8,0.627,True,False,False,False,False,False,False,True,False,False,True,True,False,False
36,6,8,5,27,3,3,14,1,2,8.9,4,7.2,0.586,True,False,False,False,False,False,False,False,False,False,False,False,True,True
29,25,9,6,7,7,3,9,3,3,7.1,5,6.9,0.874,False,False,False,False,False,True,False,False,True,False,False,True,True,True
42,6,8,5,19,4,2,15,4,5,7.9,3,4.8,0.507,False,True,False,True,False,False,False,False,True,False,True,False,True,True
40,6,7,3,26,7,2,17,4,5,4.2,3,7.6,0.449,True,True,False,False,False,False,False,False,False,False,False,True,True,False
44,7,8,6,13,5,5,12,5,2,3.0,2,7.0,0.127,True,False,False,False,False,True,False,False,True,True,False,False,False,True
32,15,11,1,9,8,2,6,1,1,3.7,2,7.9,0.696,False,True,False,False,False,True,False,False,False,False,True,True,False,True
32,2,11,4,24,8,3,18,2,3,0.8,1,6.6,0.363,True,True,False,True,False,False,False,False,False,False,False,False,False,False
45,9,6,1,6,5,5,9,3,2,6.3,5,6.2,0.385,True,False,True,False,False,False,False,False,True,False,True,True,False,False
57,6,9,2,1,7,3,15,3,3,1.7,4,6.0,0.446,True,False,False,False,False,False,False,False,False,False,True,True,True,False
45,20,11,1,16,6,1,6,2,3,7.6,2,4.5,0.91,False,False,False,False,False,False,False,False,False,False,True,True,True,False
24,30,6,3,0,8,1,14,5,1,1.9,1,4.7,0.461,False,False,True,False,False,False,True,False,False,False,True,False,False,False
43,22,9,2,12,9,2,4,2,1,2.3,1,5.0,0.638,False,True,False,False,False,False,False,False,True,False,True,False,False,True
23,26,11,4,18,5,5,7,2,4,9.6,3,8.2,0.623,False,False,False,False,True,False,False,False,False,True,False,True,False,False
45,21,9,6,28,7,4,10,5,2,1.1,5,8.0,0.239,False,False,False,False,False,False,True,True,False,False,True,False,False,True
51,26,8,6,13,1,1,6,2,2,5.0,5,6.5,0.502,False,False,False,False,False,False,True,True,False,True,False,True,False,True
59,3,6,2,25,8,1,4,5,3,0.6,4,5.2,0.344,True,True,False,False,False,False,True,False,False,False,True,True,True,False
23,23,9,1,17,3,1,8,1,4,0.9,5,5.1,0.394,False,True,False,False,False,False,True,True,False,False,False,True,True,False
